h-index 
3
not found
5
26
4
14
8
11
9
9
11
20
15
not found
9
24
45
100
not found
7
18
not found
13
6
81
not found
25
11
5
not found
10
not found
24
29
not found
37
5
not found
17
87
not found
9
13
19
6
33
8
11
22
not found
106
17
17
20
101
not found
13
4
20
30
30
89
31
not found
not found
12
20
29
7
86
13
37
27
40
not found
not found
not found
10
15
not found
28
53
1
66
13
28
4
61
14
not found
8
not found
not found
18
16
not found
not found
not found
11
52
not found
28
14
28
not found
18
not found
9
27
14
4
9
7
not found
19
not found
not found
21
not found
45
13
not found
not found
not found
not found
14
9
9
72
not found
8
15
5
14
35
10
30
not found
2
23
25
not found
23
41
19
14
11
not found
not found
12
28
4
11
9
16
not found
64
not found
17
not found
22
not found
21
not found
not found
10
58
24
26
not found
84
51
18
not found
61
7
18
8
not found
30
18
8
9
13
16
11
10
15
not found
70
18
10
not found
not found
50
not found
not found
57
15
46
27
15
35
not found
16
11
not found
110
not found
not found
not found
143
36
not found
29
13
3
27
not found
not found
not found
26
not found
not found
not found
11
not found
10
not found
9
not found
16
5
not found
7
31
not found
36
7
17
not found
not found
19
16
not found
27
not found
20
24
16
32
22
17
6
54
4
30
43
not found
not found
77
43
30
not found
14
not found
not found
48
36
not found
62
21
5
37
26
not found
94
not found
not found
12
not found
35
not found
22
45
not found
not found
not found
12
11
20
14
23
23
not found
18
108
29
12
3
51
not found
33
13
not found
12
69
60
33
5
5
not found
53
24
8
not found
22
13
30
18
18
21
9
12
16
61
not found
14
16
9
not found
13
28
9
not found
21
26
231
not found
not found
11
not found
30
4
20
not found
30
not found
6
39
not found
not found
21
7
not found
not found
not found
21
not found
9
34
not found
18
not found
not found
77
not found
not found
not found
16
17
31
20
18
21
20
41
11
not found
not found
13
10
not found
1
29
33
28
23
58
not found
not found
37
5
13
29
48
23
24
16
not found
7
3
23
20
41
12
17
18
9
12
30
not found
47
25
not found
9
79
not found
not found
23
not found
17
not found
40
26
11
not found
not found
not found
not found
not found
77
19
25
19
17
14
not found
28
not found
15
not found
7
not found
25
33
31
77
9
19
4
18
11
not found
45
42
101
8
47
not found
53
32
57
16
not found
17
not found
17
31
45
8
not found
75
20
not found
27
12
43
29
20
20
12
12
80
not found
not found
not found
60
not found
9
not found
not found
not found
3
8
not found
16
3
15
5
not found
not found
18
41
not found
41
not found
27
not found
not found
not found
3
not found
18
23
40
11
35
38
5
56
38
15
2
3
16
not found
not found
37
not found
70
not found
10
not found
81
9
84
9
46
not found
not found
not found
not found
not found
14
25
6
not found
8
11
13
27
50
not found
32
41
not found
36
56
13
17
not found
15
7
not found
33
35
not found
not found
not found
32
not found
45
not found
28
1
12
23
56
41
25
29
30
25
24
not found
53
15
19
24
3
not found
not found
not found
43
not found
16
115
not found
42
not found
42
26
41
13
not found
not found
77
43
6
not found
18
29
6
not found
115
13
10
23
not found
5
5
not found
38
not found
15
63
29
8
5
41
28
not found
15
not found
35
52
21
40
3
not found
13
34
6
16
1
13
94
11
not found
7
20
12
9
34
41
3
15
16
13
79
53
17
14
23
not found
19
not found
8
24
7
115
86
not found
not found
not found
90
6
not found
81
3
15
15
18
12
not found
9
22
5
9
81
not found
21
29
15
14
16
18
8
33
18
21
56
28
26
33
12
2
not found
3
5
18
17
not found
14
not found
26
18
54
5
77
not found
28
not found
19
not found
not found
34
not found
80
not found
not found
not found
not found
not found
20
1
23
28
not found
not found
not found
not found
not found
18
17
11
59
24
not found
102
12
20
9
not found
22
not found
not found
28
22
5
16
69
10
not found
21
not found
16
14
12
38
9
not found
not found
37
23
not found
9
37
20
not found
31
14
13
not found
not found
26
56
17
33
68
26
16
29
19
not found
46
60
34
not found
42
23
32
not found
4
39
22
25
6
70
8
not found
24
7
37
29
not found
10
3
16
13
11
not found
2
32
10
21
7
33
not found
26
131
not found
3
12
not found
5
not found
not found
9
5
16
not found
not found
48
131
53
17
13
30
not found
25
21
18
20
124
48
not found
17
36
not found
81
29
12
not found
14
not found
29
11
20
27
23
23
15
41
not found
21
not found
58
4
103
36
not found
not found
21
49
not found
not found
not found
not found
11
not found
36
not found
30
50
not found
35
8
13
114
21
103
11
2
9
19
not found
not found
20
74
52
14
13
not found
not found
not found
not found
6
10
not found
37
24
not found
18
10
53
7
not found
3
5
not found
not found
12
9
15
57
not found
36
23
26
not found
14
10
47
not found
14
25
not found
15
not found
not found
30
not found
15
not found
32
10
13
3
28
not found
60
not found
5
not found
59
28
17
7
10
not found
70
99
1
47
40
14
11
not found
39
28
45
3
28
not found
23
not found
28
12
not found
not found
not found
not found
not found
3
6
20
not found
27
not found
19
9
25
23
11
not found
7
133
not found
49
not found
46
not found
50
not found
39
77
not found
28
53
26
64
25
36
15
25
6
2
15
not found
18
28
34
7
55
10
9
92
8
10
40
15
not found
90
15
not found
15
17
26
21
not found
29
16
17
not found
25
58
24
not found
23
not found
26
12
not found
13
3
not found
25
122
1
6
4
not found
18
73
15
not found
not found
24
35
200
37
not found
not found
not found
22
not found
not found
77
3
22
not found
14
13
16
5
not found
not found
not found
not found
18
9
19
not found
7
27
13
not found
23
11
7
not found
not found
not found
25
14
22
22
35
34
16
not found
31
not found
2
8
not found
18
not found
73
16
175
13
15
not found
24
22
not found
19
not found
not found
not found
48
not found
11
59
not found
10
not found
16
8
not found
not found
not found
15
not found
71
not found
not found
14
9
16
17
21
69
not found
3
8
not found
not found
not found
46
not found
77
not found
15
not found
not found
not found
not found
not found
5
not found
39
not found
not found
56
23
153
51
not found
57
21
not found
125
67
104
12
33
not found
7
104
12
95
not found
28
17
not found
8
28
54
38
27
not found
37
6
11
14
103
4
not found
11
40
22
20
68
not found
20
12
16
not found
not found
20
13
not found
10
7
21
not found
36
not found
not found
11
not found
212
not found
21
6
8
10
24
3
28
21
43
25
not found
not found
not found
75
not found
33
40
71
not found
57
53
not found
not found
42
not found
38
16
14
not found
93
38
46
not found
40
5
10
41
5
not found
34
44
not found
15
19
not found
47
14
9
5
6
14
6
not found
not found
15
31
not found
not found
38
49
not found
15
28
not found
not found
not found
not found
not found
not found
not found
36
5
90
17
11
not found
15
12
not found
not found
not found
10
11
9
not found
2
2
not found
34
47
21
not found
11
18
24
58
10
not found
20
42
48
6
24
not found
not found
not found
21
14
not found
not found
32
13
29
15
9
16
13
12
11
14
19
not found
not found
not found
20
9
23
26
17
not found
44
not found
not found
6
15
40
8
10
48
7
not found
not found
20
5
not found
not found
37
not found
13
44
not found
not found
106
not found
not found
20
7
102
10
20
not found
10
9
60
9
31
46
not found
27
4
5
44
28
11
21
22
14
not found
110
not found
39
76
7
not found
34
34
11
46
57
11
not found
29
40
9
26
47
not found
not found
20
not found
10
26
19
42
not found
35
27
4
41
not found
4
30
not found
not found
not found
13
not found
not found
37
15
85
30
not found
3
15
9
10
15
18
not found
9
55
3
33
20
not found
47
27
33
11
39
16
19
29
not found
15
not found
not found
not found
27
not found
34
not found
24
59
17
8
not found
6
9
21
11
not found
26
43
not found
4
5
22
17
5
9
20
not found
39
not found
not found
not found
18
10
11
13
not found
not found
19
25
16
23
not found
22
20
6
33
73
11
140
55
124
13
35
6
19
33
58
49
73
not found
9
not found
17
19
32
30
20
6
28
not found
37
17
36
not found
41
12
22
9
not found
107
47
53
23
not found
4
15
not found
not found
not found
66
not found
not found
20
6
80
90
11
9
26
4
4
not found
5
4
3
11
9
14
18
12
not found
44
not found
19
not found
not found
14
18
24
not found
12
not found
1
19
9
6
4
not found
not found
26
9
23
not found
41
not found
not found
11
58
not found
12
not found
9
21
9
9
14
22
22
not found
42
98
30
99
15
36
3
13
20
not found
44
12
31
12
8
15
not found
26
not found
21
not found
7
24
9
12
not found
8
not found
21
35
20
16
5
not found
4
not found
53
6
21
25
8
16
not found
not found
11
21
not found
not found
10
not found
10
11
16
30
not found
not found
11
not found
not found
24
12
30
not found
7
16
14
16
33
not found
not found
66
16
20
1
46
not found
11
29
43
3
32
17
7
26
not found
9
17
20
16
not found
not found
84
not found
5
36
163
63
6
68
25
not found
not found
not found
not found
14
not found
not found
17
8
34
38
14
not found
38
9
37
20
14
40
not found
27
not found
not found
6
24
10
45
11
not found
not found
6
27
9
11
40
27
not found
not found
18
33
11
21
not found
15
not found
11
15
64
14
20
12
47
not found
17
not found
not found
not found
8
3
5
11
56
13
6
5
5
12
20
not found
not found
not found
not found
not found
not found
not found
35
16
29
15
not found
not found
not found
not found
11
16
71
21
not found
not found
53
not found
29
14
7
28
8
26
not found
5
21
not found
7
8
59
64
16
27
14
29
33
not found
73
90
26
47
19
12
72
18
not found
26
8
23
37
31
19
21
12
not found
53
9
53
17
not found
not found
13
15
6
not found
83
47
not found
10
18
87
12
15
not found
23
not found
18
not found
13
28
13
not found
7
4
55
4
29
34
4
14
9
16
104
42
19
63
not found
11
30
9
20
15
17
12
6
not found
6
2
6
12
not found
9
181
10
21
82
not found
27
42
11
12
16
not found
76
14
19
53
8
10
not found
not found
16
not found
41
26
29
13
15
12
32
29
not found
25
10
9
21
49
not found
not found
17
not found
20
52
29
20
12
36
36
15
17
17
98
40
not found
121
15
19
11
not found
61
12
9
14
not found
38
not found
31
not found
not found
31
99
not found
5
not found
22
14
not found
8
32
17
40
93
57
13
not found
4
not found
15
35
41
15
not found
8
4
7
12
20
38
4
not found
11
38
not found
not found
7
25
14
19
15
not found
not found
34
not found
59
not found
7
not found
not found
18
not found
17
not found
24
3
not found
38
9
not found
not found
38
not found
not found
not found
not found
not found
7
6
27
57
not found
not found
6
8
19
not found
9
13
21
21
not found
24
15
12
22
33
21
180
13
34
5
not found
22
not found
6
not found
8
15
7
17
7
9
9
116
40
9
11
not found
not found
11
11
2
26
4
10
11
57
not found
4
not found
31
19
12
43
not found
11
35
not found
9
47
not found
not found
not found
10
61
18
53
